NomSubEstacao,NumCoordESub,NumCoordNSub
USINA GAFANHOTO,-4485,-2010
SALINAS,-4229,-1618
SAO JOAQUIM,-4229,-460
Val de Palmas,-4229,-2199
AL. SOLEDADE - PASSO DOS LADR?ES,-5252,-2884
MAC01,-4996,-2080
LEM01,-4740,-2218
SE SERTÃO I SOLAR-PARTICULAR,-4228,-854
ALTO LONGA,-4228,-521
BOA VIAGEM,-3972,-513
TEIXEIRA DE FREITAS,-3972,-1753
SE GUAJARA MIRIM,-6531,-1076
SOLEDADE,-5251,-2881
SAO FRANCISCO 4,-4483,-1594
OLIVEIRA,-4483,-2069
ROQUE GONZALES,-5506,-2813
PALMEIRAS,-4994,-1678
FAB,-4738,-2383
UH TRONQUEIRAS,-4226,-1872
PARANAVAI,-5249,-2311
XINGUARA,-4993,-709
MARILIA 2 ITAMBE,-4993,-2223
ARR02,-4737,-2239
LIM03,-4737,-2259
PARAGOMINAS,-4737,-298
ITIQUIRA (FORMOSA),-4737,-1554
SE SAO MIGUEL,-6272,-1170
SAO JOAO DO PIAUI,-4224,-837
PARAMIRIM,-4224,-1346
Iguaba,-4224,-2283
CAR,-4991,-2008
PERDIZES,-4735,-1938
MIRINZAL,-4478,-207
BACABAL,-4478,-422
CLAUDIO 2,-4478,-2043
SUBESTA8,-3710,-1091
SE VILHENA,-6013,-1274
SANTA CRUZ 3 - BOM JESUS,-5245,-2974
BOM SUCESSO,-4477,-2104
CLAUDIO 1,-4477,-2044
TAIOBEIRAS,-4221,-1583
PARAUAPEBAS,-4988,-608
SE OURINHOS I,-4988,-2298
USINA QUEIMADOS,-4732,-1621
PAPAGAIOS,-4476,-1947
Miracema,-4220,-2142
SE MIRANTE DA SERRA,-6267,-1102
PASSO FUNDO 3,-5243,-2828
CAMPO MAIOR,-4219,-485
SE CONTORNO,-3707,-1095
VARZEA PALMA,-4474,-1759
SUBESTA6,-3706,-1098
SUBESTA�ÃO PELOTAS 3,-5241,-3173
LARANJEIRAS DO SUL,-5241,-2539
PAP,-4729,-2269
TAM01,-4729,-2171
MONTE MOR 1,-4729,-2295
Parati,-4473,-2319
Santo Antonio de Padua,-4217,-2156
SUBESTA9,-3705,-1090
SENADOR LA ROCQUE,-4728,-545
Patrimonio,-4472,-2331
ARCOVERDE,-3704,-842
AMARGOSA,-3959,-1303
UHE ITAPEBI GERADORA-CLIENTE,-3959,-1597
SÃO LUIZ GONZAGA,-5494,-2841
ITAPAJE,-3958,-369
SANTOS DUMONT,-5237,-2403
CARATINGA 1,-4213,-1977
SE TANGARA DA SERRA 138 KV,-5748,-1463
SE NOVA XAVANTINA 138 KV,-5236,-1465
PASSO FUNDO 1,-5236,-2824
OEIRAS,-4212,-701
SAO BERNARDO,-4212,-326
INHAPIM 2,-4212,-1956
EUNAPOLIS,-3956,-1637
